"","x"
"1",112
"2",118
"3",132
"4",129
"5",121
"6",135
"7",148
"8",148
"9",136
"10",119
"11",104
"12",118
"13",115
"14",126
"15",141
"16",135
"17",125
"18",149
"19",170
"20",170
"21",158
"22",133
"23",114
"24",140
"25",145
"26",150
"27",178
"28",163
"29",172
"30",178
"31",199
"32",199
"33",184
"34",162
"35",146
"36",166
"37",171
"38",180
"39",193
"40",181
"41",182.999999999999
"42",218
"43",230
"44",242
"45",209
"46",191
"47",172
"48",193.999999999999
"49",196
"50",196
"51",236
"52",235
"53",229
"54",243
"55",264
"56",272
"57",237
"58",211
"59",180
"60",201
"61",204
"62",188
"63",235
"64",227
"65",234
"66",264
"67",302
"68",293
"69",259
"70",229
"71",203
"72",229
"73",242
"74",233
"75",267
"76",269
"77",270
"78",315
"79",364
"80",347
"81",312
"82",274
"83",237
"84",278
"85",284
"86",277
"87",317
"88",313
"89",318
"90",374
"91",413
"92",404.999999999999
"93",355
"94",306
"95",271
"96",306
"97",315
"98",301.000000000001
"99",356
"100",348
"101",355
"102",422
"103",465
"104",467
"105",404
"106",347
"107",305
"108",336
"109",340
"110",318
"111",362
"112",348
"113",363
"114",435
"115",490.999999999999
"116",505
"117",404
"118",359
"119",310
"120",337
"121",359.999999999999
"122",342
"123",406.000000000001
"124",396
"125",420
"126",472.000000000001
"127",548
"128",559
"129",463
"130",407.000000000001
"131",362
"132",404.999999999999
"133",424.075739563032
"134",391.17953660148
"135",457.475162817004
"136",455.424959417918
"137",475.603260817959
"138",564.91732686115
"139",647.715398768396
"140",643.094321498846
"141",534.475580777267
"142",462.480085008872
"143",402.940696550609
"144",450.257045707479
